number,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,carbohydrate,fiber,sugars,lactose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,water
6097,"Whale,  subcutaneous fat (blubber) (Alaska Native)",100,870,97,,0.15,0.4,0,0,0,0,96.5,0,0,0,2.9
2349,"Sea lion,  fat (Alaska Native)",100,850,94,,0.095,0.9,0,0,0,0,94,0,0,0,4.7
3455,"Margarine,  soybean (hydrogenated)",100,719,81,17,0,0.9,0.9,0,0,0,80.5,16.7,39.3,20.9,15.7
993,"Butter,  with salt",100,718,78,45,0.225,0.49,2.87,0,0.06,0,78.3,45.39,19.874,3.331,16.72
6370,"Margarine-like,  without salt",100,718,81,27,0.088,0.9,0.6,0,0,0,80.7,26.904,31.832,18.236,15.8
158,"Butter,  without salt",100,717,81,50,0.215,0.85,0.06,0,0.06,0,81.11,50.489,23.43,3.01,17.94
5108,"Margarine,  with salt",100,717,81,15,0,0.16,0.7,0,0,0,80.71,15.189,38.877,24.302,16.52
6809,"Margarine,  with added vitamin D",100,717,81,15,0,0.16,0.7,0,0,0,80.71,15.189,38.877,24.302,16.52
490,"Butter,  salted",100,717,81,51,0.215,0.85,0.06,0,0.06,0,81.11,51.368,21.021,3.043,15.87
5000,"Margarine,  without salt",100,713,80,14,0,0.22,0.75,0,0,0,80.17,14.224,36.435,26.741,17.07
1,"Nuts,  pecans",100,691,72,6.2,0,9.17,13.86,9.6,3.97,0,71.97,6.18,40.801,21.614,3.52
1386,"Mayonnaise dressing,  no cholesterol",100,688,78,11,0,0,0.3,0,0.3,0,77.8,10.784,18.026,45.539,21.7
3640,"Nuts,  creamed",100,684,69,61,0,5.3,21.52,0,0,0,69.08,61.257,2.939,0.756,1.67
4107,"Lamb,  cooked",100,674,72,31,0.066,5.24,0.62,0,0,0,72.28,31.441,19.735,2.314,21.77
29,"Nuts,  dried",100,673,68,4.9,0,13.69,13.08,3.7,3.59,0,68.37,4.899,18.764,34.071,2.28
4139,"Nuts,  not sweetened",100,660,65,57,0,6.88,23.65,16.3,7.35,0,64.53,57.218,2.745,0.706,3
1387,"Nuts,  unblanched",100,659,67,16,0,14.32,11.74,7.5,2.33,0,67.1,16.134,23.879,24.399,3.42
1318,"Nuts,  english",100,654,65,6.1,0,15.23,13.71,6.7,2.61,0,65.21,6.126,8.933,47.174,4.07
782,"Peanut spread,  reduced sugar",100,650,55,10,0,24.8,14.23,7.8,6.35,0,54.89,10.22,26.997,16.266,1.93
7385,"Nuts,  without salt",100,647,62,9.4,0,13.11,20.79,5.2,0,0,62.3,9.37,25.722,24.284,2
2907,"Nuts,  with salt added",100,643,61,5.4,0,14.29,17.86,7.1,3.57,0,60.71,5.357,8.371,44.182,4.39
1550,"McDONALD'S,  Peanuts (for Sundaes)",100,640,53,8.3,0,28.04,16.23,0,4.15,0,52.91,8.305,25.749,13.979,0.56
6177,"Nuts,  CHOSEN ROASTER",100,632,59,7,0,18,19.02,7.1,3.9,0,58.8,7.023,27.596,19.479,1.52
1394,"Salad dressing,  home recipe",100,631,70,13,0,0.1,3.4,0,0,0,70.2,12.6,20.7,33.7,24.2
3585,"Seeds,  dried (decorticated)",100,631,61,9.1,0,20.45,11.73,11.6,0.48,0,61.21,9.055,23.924,25.491,3.75
5893,"Margarine-like spread with yogurt,  with salt",100,630,70,13,0,0.3,0.5,0,0,0,70,13.3,39.9,14,28
8242,"Margarine-like shortening,  principal use flaky pastries",100,628,71,23,0,0,0,0,0,0,71,22.869,37.243,7.512,28
3018,"Hazelnuts,  beaked (Northern Plains Indians)",100,628,53,,0,14.89,22.98,9.8,0,0,52.99,0,0,0,5.92
965,"Nuts,  hazelnuts or filberts",100,628,61,4.5,0,14.95,16.7,9.7,4.34,0,60.75,4.464,45.652,7.92,5.31
3101,"Seeds,  without salt",100,617,55,4.7,0,17.28,23.32,5.7,10.54,0,55.2,4.678,39.025,9.805,0.62
4023,"Seeds,  with salt added",100,617,55,4.7,0,17.28,23.32,5.7,10.54,0,55.2,4.678,39.025,9.805,0.62
1765,"Pork,  dehydrated",100,615,62,23,0.067,11.8,1.4,0,0,0,62.4,23.056,28.555,7.32,21.8
3859,"Egg,  glucose reduced",100,615,44,13,2.017,48.17,2.38,0,0,0,43.95,13.198,17.564,5.713,1.87
3752,"Nuts,  without salt added",100,614,56,4.2,0,20.96,18.82,10.3,4.43,0,55.5,4.152,32.445,13.613,1.64
1946,"Topping,  SMUCKER'S MAGIC SHELL",100,609,44,21,0.002,2.94,50.07,2.9,47.06,0,44.1,20.59,6.156,15.094,0.25
1518,"Peanut butter with omega-3,  creamy",100,608,54,9.7,0,24.47,17,6.1,3.11,0,54.17,9.691,36.614,6.95,0.99
8006,"Seeds,  from unroasted kernels (non-chemically removed seed coat)",100,607,56,7.9,0,17.95,17.89,9.3,0,0,56.44,7.904,21.313,24.737,3
2538,"Chocolate,  70-85% cacao solids",100,598,43,24,0.003,7.79,45.9,10.9,23.99,0,42.63,24.489,12.781,1.257,1.37
2281,"Peanut butter,  with salt",100,598,51,10,0,22.21,22.31,5,10.49,0,51.36,10.325,25.941,12.535,1.23
6973,"Seeds,  from roasted and toasted kernels (most common type)",100,595,54,7.5,0,17,21.19,9.3,0.49,0,53.76,7.529,20.302,23.564,3.05
4271,"Peanut butter,  vitamin and mineral fortified",100,593,51,8,0,26.06,17.69,5.7,10.94,0,51.47,7.972,24.366,14.648,1.48
4969,"Seeds,  type of kernels unspecified",100,592,53,7.4,0,17.4,21.5,4.7,0,0,53.01,7.423,20.016,23.232,3
385,"Egg,  dried",100,592,44,15,1.63,48.05,1.13,0,0.56,0,43.9,15.069,16.726,8.314,2.78
3626,"Nuts,  toasted",100,592,47,42,0,5.3,44.4,0,0,0,47,41.678,1.999,0.514,1
